# AUTO-GENERATED from /Users/caulisnomoto/caulis-repo/nimt-detection-service/src/main/java/jp/caulis/nimt/customfunction/CFVar.java
# format: variable|type|api|description
# partialKey=true は prefix_* として出力される

depositStatsAverageAmountLast1Week|Float|All|過去1週間の入金平均額
depositStatsAverageAmountLast6Hour|Float|All|過去6時間の入金平均額
depositStatsCountAllLast10Minutes|Float|All|過去10分間の入金回数
depositStatsCountAllLast1Day|Float|All|過去1日の金回数
depositStatsCountAllLast1Hour|Float|All|過去1時間の入金回数
depositStatsCountAllLast1Month|Float|All|過去1か月の入金回数
depositStatsCountAllLast1Week|Float|All|過去1週間の入金回数
depositStatsCountAllLast6Hour|Float|All|過去6時間の入金回数
depositStatsCountNotJPYLast10Minutes|Float|All|過去10分間の外国通貨の入金回数
depositStatsCountNotJPYLast1Day|Float|All|過去1日の外国通貨の入金回数
depositStatsCountNotJPYLast1Hour|Float|All|過去1時間の外国通貨の入金回数
depositStatsCountNotJPYLast1Month|Float|All|過去1か月の外国通貨の入金回数
depositStatsCountNotJPYLast1Week|Float|All|過去1週間の外国通貨の入金回数
depositStatsCountNotJPYLast6Hour|Float|All|過去6時間の外国通貨の入金回数
depositStatsCountOtherSitesLast10Minutes|Float|All|過去10分間の他銀行からの入金回数
depositStatsCountOtherSitesLast1Day|Float|All|過去1日の他銀行からの入金回数
depositStatsCountOtherSitesLast1Hour|Float|All|過去1時間の他銀行からの入金回数
depositStatsCountOtherSitesLast1Month|Float|All|過去1か月の他銀行からの入金回数
depositStatsCountOtherSitesLast1Week|Float|All|過去1週間の他銀行からの入金回数
depositStatsCountOtherSitesLast6Hour|Float|All|過去6時間の他銀行からの入金回数
depositStatsCountOverseasLast10Minutes|Float|All|過去10分間の海外からの入金回数
depositStatsCountOverseasLast1Day|Float|All|過去1日の海外からの入金回数
depositStatsCountOverseasLast1Hour|Float|All|過去1時間の海外からの入金回数
depositStatsCountOverseasLast1Month|Float|All|過去1か月の海外からの入金回数
depositStatsCountOverseasLast1Week|Float|All|過去1週間の海外からの入金回数
depositStatsCountOverseasLast6Hour|Float|All|過去6時間の海外からの入金回数
depositStatsCountSameAccountLast10Minutes|Float|All|過去10分間の同一口座からの入金回数
depositStatsCountSameAccountLast1Day|Float|All|過去1日の同一口座からの入金回数
depositStatsCountSameAccountLast1Hour|Float|All|過去1時間の同一口座からの入金回数
depositStatsCountSameAccountLast1Month|Float|All|過去1か月の同一口座からの入金回数
depositStatsCountSameAccountLast1Week|Float|All|過去1週間の同一口座からの入金回数
depositStatsCountSameAccountLast6Hour|Float|All|過去6時間の同一口座からの入金回数
depositStatsLastAmount|Float|All|直近の入金額
depositStatsLastRelativeSuspiciousValue|Float|All|直近の入金時の危険度
depositStatsLastTime|Object|All|直近の入金時刻
depositStatsLastTimeFloat|Float|All|直近の入金時刻
depositStatsTotalAmountLast10Minutes|Float|All|過去10分間の入金金額の合計
depositStatsTotalAmountLast1Day|Float|All|過去1日の入金金額の合計
depositStatsTotalAmountLast1Hour|Float|All|過去1時間の入金金額の合計
depositStatsTotalAmountLast1Month|Float|All|過去1か月の入金金額の合計
depositStatsTotalAmountLast1Week|Float|All|過去1週間の入金金額の合計
depositStatsTotalAmountLast6Hour|Float|All|過去6時間の入金金額の合計
directIpAddress|String|All|エンドユーザさまの端末が接続しているネットワークのIPアドレス。64文字以下
directParams_*|Object|All|キーバリュー形式の端末情報インプットパラメータ 。$directParams_{key}のようにキーを指定したCF変数で利用すること。
directUserAgent|String|All|エンドユーザーさまのユーザーエージェント
district|String|All|IPアドレスから導出した地域
email|String|Deposit,Withdrawal|口座の登録メールアドレス。半角英数字。
emailChangeCountLast10Mins|Float|All|過去10分間のメールアドレス変更回数
emailChangeCountLast1Day|Float|All|過去1日のメールアドレス変更回数
emailChangeCountLast1Hour|Float|All|過去1時間のメールアドレス変更回数
emailChangeCountLast1Month|Float|All|過去1か月のメールアドレス変更回数
emailChangeCountLast1Week|Float|All|過去1週間のメールアドレス変更回数
emailChangeCountLast6Hour|Float|All|過去6時間のメールアドレス変更回数
emailLatestChangeTime|Object|All|メールアドレスの直近の変更日時を表すUNIXタイムスタンプ
emailLatestChangeTimeFloat|Float|All|メールアドレスの直近の変更日時を表すUNIXタイムスタンプ
emailSub1ChangeCountLast10Mins|Float|All|過去10分間のメールアドレス（サブ１）変更回数
emailSub1ChangeCountLast1Day|Float|All|過去1日のメールアドレス（サブ１）変更回数
emailSub1ChangeCountLast1Hour|Float|All|過去1時間のメールアドレス（サブ１）変更回数
emailSub1ChangeCountLast1Month|Float|All|過去1か月のメールアドレス（サブ１）変更回数
emailSub1ChangeCountLast1Week|Float|All|過去1週間のメールアドレス（サブ１）変更回数
emailSub1ChangeCountLast6Hour|Float|All|過去6時間のメールアドレス（サブ１）変更回数
emailSub1LatestChangeTime|Object|All|メールアドレス（サブ１）の直近の変更日時を表すUNIXタイムスタンプ
emailSub1LatestChangeTimeFloat|Float|All|メールアドレス（サブ１）の直近の変更日時を表すUNIXタイムスタンプ
emailSub2ChangeCountLast10Mins|Float|All|過去10分間のメールアドレス（サブ２）変更回数
emailSub2ChangeCountLast1Day|Float|All|過去1日のメールアドレス（サブ２）変更回数
emailSub2ChangeCountLast1Hour|Float|All|過去1時間のメールアドレス（サブ２）変更回数
emailSub2ChangeCountLast1Month|Float|All|過去1か月のメールアドレス（サブ２）変更回数
emailSub2ChangeCountLast1Week|Float|All|過去1週間のメールアドレス（サブ２）変更回数
emailSub2ChangeCountLast6Hour|Float|All|過去6時間のメールアドレス（サブ２）変更回数
emailSub2LatestChangeTime|Object|All|メールアドレス（サブ２）の直近の変更日時を表すUNIXタイムスタンプ
emailSub2LatestChangeTimeFloat|Float|All|メールアドレス（サブ２）の直近の変更日時を表すUNIXタイムスタンプ
emailSub3ChangeCountLast10Mins|Float|All|過去10分間のメールアドレス（サブ３）変更回数
emailSub3ChangeCountLast1Day|Float|All|過去1日のメールアドレス（サブ３）変更回数
emailSub3ChangeCountLast1Hour|Float|All|過去1時間のメールアドレス（サブ３）変更回数
emailSub3ChangeCountLast1Month|Float|All|過去1か月のメールアドレス（サブ３）変更回数
emailSub3ChangeCountLast1Week|Float|All|過去1週間のメールアドレス（サブ３）変更回数
emailSub3ChangeCountLast6Hour|Float|All|過去6時間のメールアドレス（サブ３）変更回数
emailSub3LatestChangeTime|Object|All|メールアドレス（サブ３）の直近の変更日時を表すUNIXタイムスタンプ
emailSub3LatestChangeTimeFloat|Float|All|メールアドレス（サブ３）の直近の変更日時を表すUNIXタイムスタンプ
email_primary|String|InformationChange|基本情報変更検知時メールアドレス
email_sub1|String|Deposit,Withdrawal,InformationChange|口座の登録メールアドレス（サブ１）。半角英数字。
email_sub2|String|Deposit,Withdrawal,InformationChange|口座の登録メールアドレス（サブ２）。半角英数字。
email_sub3|String|Deposit,Withdrawal,InformationChange|口座の登録メールアドレス（サブ３）。半角英数字。
endpoint|String|All|APIのエンドポイント
eventType|String|All|検知APIの種類。 送金検知API：withdrawal 入金検知API：deposit 口座情報変更検知API：informationChange ログイン検知API：login 全検知API：all
fa_AV|String|All|ログイン検知の結果から取得したAVの値
fa_BV|String|All|ログイン検知の結果から取得したBVの値
fa_CV|String|All|ログイン検知の結果から取得したCVの値
fa_GD|String|All|ログイン検知の結果から取得したGDの値
fa_OsAndBrowserTransitionOnSameCookie12H|Float|All|ログイン検知の結果から取得したOsAndBrowserTransitionOnSameCookie12Hの値
fa_OsAndBrowserTransitionOnSameCookie1H|Float|All|ログイン検知の結果から取得したOsAndBrowserTransitionOnSameCookie1Hの値
fa_OsAndBrowserTransitionOnSameCookie24H|Float|All|ログイン検知の結果から取得したOsAndBrowserTransitionOnSameCookie24Hの値
fa_OsAndBrowserTransitionOnSameCookie6H|Float|All|ログイン検知の結果から取得したOsAndBrowserTransitionOnSameCookie6Hの値
fa_PriorityLanguageTransitionOnSameCookie12H|Float|All|ログイン検知の結果から取得したPriorityLanguageTransitionOnSameCookie12Hの値
fa_PriorityLanguageTransitionOnSameCookie1H|Float|All|ログイン検知の結果から取得したPriorityLanguageTransitionOnSameCookie1Hの値
fa_PriorityLanguageTransitionOnSameCookie24H|Float|All|ログイン検知の結果から取得したPriorityLanguageTransitionOnSameCookie24Hの値
fa_PriorityLanguageTransitionOnSameCookie6H|Float|All|ログイン検知の結果から取得したPriorityLanguageTransitionOnSameCookie6Hの値
fa_SPLanguageTransitionOnSameCookie12H|Float|All|ログイン検知の結果から取得したSPLanguageTransitionOnSameCookie12Hの値
fa_SPLanguageTransitionOnSameCookie1H|Float|All|ログイン検知の結果から取得したSPLanguageTransitionOnSameCookie1Hの値
fa_SPLanguageTransitionOnSameCookie24H|Float|All|ログイン検知の結果から取得したSPLanguageTransitionOnSameCookie24Hの値
fa_SPLanguageTransitionOnSameCookie6H|Float|All|ログイン検知の結果から取得したSPLanguageTransitionOnSameCookie6Hの値
fa_ScreenResolutionTransitionOnSameCookie12H|Float|All|ログイン検知の結果から取得したScreenResolutionTransitionOnSameCookie12Hの値
fa_ScreenResolutionTransitionOnSameCookie1H|Float|All|ログイン検知の結果から取得したScreenResolutionTransitionOnSameCookie1Hの値
fa_ScreenResolutionTransitionOnSameCookie24H|Float|All|ログイン検知の結果から取得したScreenResolutionTransitionOnSameCookie24Hの値
fa_ScreenResolutionTransitionOnSameCookie6H|Float|All|ログイン検知の結果から取得したScreenResolutionTransitionOnSameCookie6Hの値
fa_TimeZoneTransitionOnSameCookie12H|Float|All|ログイン検知の結果から取得したTimeZoneTransitionOnSameCookie12Hの値
fa_TimeZoneTransitionOnSameCookie1H|Float|All|ログイン検知の結果から取得したTimeZoneTransitionOnSameCookie1Hの値
fa_TimeZoneTransitionOnSameCookie24H|Float|All|ログイン検知の結果から取得したTimeZoneTransitionOnSameCookie24Hの値
fa_TimeZoneTransitionOnSameCookie6H|Float|All|ログイン検知の結果から取得したTimeZoneTransitionOnSameCookie6Hの値
fa_acceleromet|Boolean|All|ログイン検知の結果から取得したaccelerometの値
fa_acceptIpAddress|String|All|ログイン検知の結果から取得したacceptIpAddressの値
fa_accessCountByCaulisCookieInMiddlePeriod|Float|All|ログイン検知の結果から取得したaccessCountByCaulisCookieInMiddlePeriodの値
fa_accessCountByCaulisCookieInShortPeriod|Float|All|ログイン検知の結果から取得したaccessCountByCaulisCookieInShortPeriodの値
fa_accessCountByIPAddressInMiddlePeriod|Float|All|ログイン検知の結果から取得したaccessCountByIPAddressInMiddlePeriodの値
fa_accessCountByIPAddressInShortPeriod|Float|All|ログイン検知の結果から取得したaccessCountByIPAddressInShortPeriodの値
fa_accountCountByCaulisCookieInLongPeriod|Float|All|ログイン検知の結果から取得したaccountCountByCaulisCookieInLongPeriodの値
fa_accountCountByCaulisCookieInMiddlePeriod|Float|All|ログイン検知の結果から取得したaccountCountByCaulisCookieInMiddlePeriodの値
fa_accountCountByCaulisCookieInShortPeriod|Float|All|ログイン検知の結果から取得したaccountCountByCaulisCookieInShortPeriodの値
fa_accountCountByIPAddressInMiddlePeriod|Float|All|ログイン検知の結果から取得したaccountCountByIPAddressInMiddlePeriodの値
fa_accountCountByIPAddressInShortPeriod|Float|All|ログイン検知の結果から取得したaccountCountByIPAddressInShortPeriodの値
fa_accountCreationCountByCookie|Float|All|ログイン検知の結果から取得したaccountCreationCountByCookieの値
fa_accountCreationCountByIpAddress|Float|All|ログイン検知の結果から取得したaccountCreationCountByIpAddressの値
fa_actionNameOrTitle|String|All|ログイン検知の結果から取得したactionNameOrTitleの値
fa_age|Float|All|ログイン検知の結果から取得したageの値
fa_altitude|Float|All|ログイン検知の結果から取得したaltitudeの値
fa_androidId|String|All|ログイン検知の結果から取得したandroidIdの値
fa_apiKind|String|All|ログイン検知の結果から取得したapiKindの値
fa_appName|String|All|ログイン検知の結果から取得したappNameの値
fa_applicationInfo|String|All|ログイン検知の結果から取得したapplicationInfoの値
fa_barometer|Float|All|ログイン検知の結果から取得したbarometerの値
fa_batteryLevel|Float|All|ログイン検知の結果から取得したbatteryLevelの値
fa_batteryState|String|All|ログイン検知の結果から取得したbatteryStateの値
fa_bluetoothConnection|Boolean|All|ログイン検知の結果から取得したbluetoothConnectionの値
